Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
243,3596,0.030270241495183644,service,False
244,646,0.004199421042742259,tertiary,False
244,5636,0.1096886634780604,primary,True
245,2832,0.0046002063641199355,service,False
245,3672,0.013499840832372966,service,False
246,2134,0.08248787434716785,tertiary,False
246,3329,0.007964437867020972,tertiary,False
246,3434,0.007789937847727559,residential,False
247,57,0.04891464933240617,tertiary,False
247,1534,0.01214259691844054,tertiary,False
248,3388,0.006484293005164394,service,False
248,3442,0.0285307535266975,service,False
249,5466,0.05144876481772615,primary,True
250,840,0.003642626382261565,service,False
250,2373,0.021393882454813808,service,False
251,29,0.008183584654408103,service,False
251,1384,0.05124593531501427,tertiary,False
251,5306,0.05018184603777588,tertiary,False
252,2356,0.03220362252763302,service,False
252,3252,0.05487183220396168,service,False
253,2827,0.024819356857102664,service,True
254,2200,0.018059711570870593,service,False
254,2299,0.03551253943457698,service,False
254,4475,0.029462302493615165,service,False
255,812,0.043150540852579695,primary,True
256,4803,0.05241213943384006,service,False
257,211,0.015853234549677176,service,False
257,2876,0.010722372924923462,service,False
257,3155,0.009740387502233303,service,False
258,354,0.0189133369244936,service,False
258,998,0.009200412537475099,service,False
259,2613,0.018260472099560648,service,False
260,3768,0.023023583669326348,tertiary,False
260,5225,0.0060105157305944245,tertiary,False
261,1874,0.0634172026750039,service,False
262,4404,0.022303758633948283,service,False
262,5226,0.04366002919696478,service,False
263,1568,0.024108738700133907,residential,True
264,2260,0.03399855542691633,tertiary,False
264,3324,0.02588563621628666,tertiary,False
264,3725,0.010521961094776882,service,True
265,94,0.0019268038268799416,service,False
265,2301,0.030380416487427547,service,False
265,2646,0.00228426337976327,service,False
266,1343,0.006215801039615141,service,False
266,2631,0.009340950624053584,service,False
267,1249,0.016510854214079454,service,False
267,2808,0.0055340476516290505,service,False
268,3053,0.03155550280423993,residential,False
268,3775,0.018917713323908993,service,False
268,5714,0.02344811271986974,residential,False
269,4696,0.005130817382148887,primary_link,True
270,765,0.025789662932475553,service,False
270,1505,0.015722167201065364,service,False
271,569,0.05136411604476127,residential,False
271,1810,0.009462712370162487,residential,False
272,1428,0.08486573828587472,service,False
272,4808,0.0036239423158554106,service,False
273,2514,0.08697769132898166,primary,True
274,573,0.02837434401613434,primary,True
274,3262,0.02764380770498149,tertiary_link,True
275,1320,0.07192246237373719,tertiary,False
275,4906,0.02319876448566055,tertiary,False
276,2702,0.004726837481570992,residential,False
276,3635,0.0576851986753308,residential,False
276,4883,0.01859181781539931,residential,False
277,3830,0.03145561188133588,residential,False
277,4295,0.005756211365854652,residential,False
278,1577,0.012106530664002841,residential,False
278,4586,0.06371334193261866,residential,False
278,4898,0.0163542251603293,residential,False
279,369,0.036275721853426715,residential,False
279,2781,0.017547115534573148,service,False
279,5532,0.036964430062453195,residential,False
280,2481,0.008907498393532068,service,False
280,3570,0.02780262285912142,service,False
281,782,0.01046105854358571,service,False
281,4572,0.023210041055397864,service,False
282,851,0.00484371151881307,service,False
282,1427,0.010201994119587178,service,False
283,501,0.008258799494951266,service,False
283,5414,0.04374419931389524,service,False
284,3793,0.050681039734651656,service,False
284,4578,0.013460727069694273,service,False
284,5001,0.05902148693691551,service,False
285,1980,0.03505155155638491,service,False
